NOME;RENDA;GINI;CMI
Malta (PB);211.34;0.56;38.33
Mamanguape (PB);198.76;0.52;51.53
Mambaí (GO);187.01;0.53;32.3
Mamborê (PR);366.54;0.56;30.6
Mamonas (MG);180.75;0.45;40.87
Mampituba (RS);300.14;0.46;21.1
Manacapuru (AM);199.66;0.56;41.14
Manaíra (PB);119.36;0.53;67.18
Manaquiri (AM);234.85;0.63;46.38
Manari (PE);112.64;0.54;87.32
Manaus (AM);537.29;0.61;34.2
Mâncio Lima (AC);167.7;0.61;32.63
Mandaguaçu (PR);466.47;0.51;28
Mandaguari (PR);471.92;0.5;20.9
Mandirituba (PR);457.67;0.48;24.88
Manduri (SP);484.67;0.48;22.1
Manfrinópolis (PR);229.76;0.58;26.41
Manga (MG);320.28;0.68;38.99
Mangaratiba (RJ);656.28;0.52;19.57
Mangueirinha (PR);402.77;0.57;26.6
Manhuaçu (MG);545.15;0.57;19.38
Manhumirim (MG);408.83;0.54;29.66
Manicoré (AM);167.99;0.6;41.29
Manoel Emídio (PI);130.66;0.54;43.07
Manoel Ribas (PR);324.77;0.6;29.02
Manoel Urbano (AC);184.82;0.62;30.71
Manoel Viana (RS);332.78;0.53;28.6
Manoel Vitorino (BA);136.09;0.49;46.22
Mansidão (BA);88.61;0.55;36.3
Mantena (MG);482.88;0.65;33.15
Mantenópolis (ES);331.46;0.57;31.72
Maquiné (RS);448.96;0.54;16.7
Maraã (AM);127.09;0.55;51.85
Marabá (PA);380.81;0.59;36.05
Marabá Paulista (SP);279.37;0.43;26.2
Maracaçumé (MA);195.34;0.49;57.19
Maracaí (SP);458.7;0.45;19.6
Maracajá (SC);804.3;0.5;20.4
Maracaju (MS);487.24;0.58;18.92
Maracanã (PA);129.03;0.58;38.22
Maracanaú (CE);261.47;0.47;31.29
Maracás (BA);146.5;0.49;50.61
Maragogi (AL);144.21;0.54;33.98
Maragogipe (BA);170.15;0.56;36.1
Maraial (PE);121.09;0.54;75.64
Marajá do Sena (MA);96.25;0.59;48.79
Maranguape (CE);211.51;0.51;35.99
Maranhãozinho (MA);79.1;0.51;53.25
Marapanim (PA);156.36;0.53;29.38
Marapoama (SP);384.31;0.4;20.1
Mara Rosa (GO);308.76;0.56;24
Marataízes (ES);446.3;0.58;22.65
Maratá (RS);513.45;0.36;17.8
Maraú (BA);204.51;0.71;41.73
Marau (RS);685.43;0.49;16.6
Maravilha (AL);85.8;0.59;44.34
Maravilha (SC);583;0.51;18.9
Maravilhas (MG);346.96;0.47;25.1
Marcação (PB);98.17;0.51;67.52
Marcelândia (MT);621.76;0.55;23.5
Marcelino Ramos (RS);475.84;0.56;17.2
Marcelino Vieira (RN);148.78;0.53;54.49
Marcionílio Souza (BA);166.14;0.52;54.59
Marco (CE);156.45;0.54;54.74
Marcolândia (PI);186.55;0.49;49.76
Marcos Parente (PI);192.53;0.48;47.31
Mar de Espanha (MG);459.37;0.55;31.42
Marechal Cândido Rondon (PR);669.62;0.56;20.2
Marechal Deodoro (AL);224.09;0.59;36.56
Marechal Floriano (ES);484.9;0.53;26.73
Marechal Thaumaturgo (AC);93.59;0.59;41.58
Marema (SC);570.77;0.48;15.7
Maria da Fé (MG);379.9;0.54;31.15
Maria Helena (PR);255.89;0.45;25.61
Marialva (PR);601.41;0.58;27.24
Mariana (MG);424.84;0.57;22.38
Mariana Pimentel (RS);445.93;0.49;17.7
Mariano Moro (RS);648.81;0.59;16.4
Marianópolis do Tocantins (TO);334.64;0.55;45.93
Mariápolis (SP);400.6;0.43;21.2
Maribondo (AL);206.13;0.59;41.44
Maricá (RJ);641.83;0.54;19.36
Marilac (MG);213.32;0.54;39.52
Marilândia do Sul (PR);397.74;0.5;25.69
Marilândia (ES);363.52;0.49;21.86
Marilena (PR);341.72;0.46;22.8
Marília (SP);830.87;0.55;17.7
Mariluz (PR);306.51;0.54;34.69
Maringá (PR);916.87;0.51;20.4
Marinópolis (SP);348.55;0.43;26.1
Mário Campos (MG);332.05;0.47;31.15
Mariópolis (PR);499.48;0.53;24.71
Maripá de Minas (MG);499.84;0.51;26.9
Maripá (PR);585.53;0.48;18.4
Mari (PB);177.75;0.46;69.04
Marituba (PA);254.86;0.52;42.16
Marizópolis (PB);168.92;0.48;47.59
Marliéria (MG);325.29;0.54;28.72
Marmeleiro (PR);388.34;0.53;28.3
Marmelópolis (MG);284.93;0.45;29.37
Marques de Souza (RS);549.7;0.46;13.2
Marquinho (PR);216.85;0.53;30.58
Martinho Campos (MG);450.04;0.51;28.9
Martinópole (CE);112.14;0.59;63.28
Martinópolis (SP);458.48;0.54;21
Martins (RN);193.98;0.59;42.92
Martins Soares (MG);350.28;0.43;29.66
Maruim (SE);187.52;0.5;43.84
Marumbi (PR);356.39;0.52;29.39
Mar Vermelho (AL);130.31;0.47;41.44
Marzagão (GO);422.87;0.5;23
Mascote (BA);143.91;0.56;54.82
Massapê (CE);144.95;0.56;47.85
Massapê do Piauí (PI);121.94;0.51;60.53
Massaranduba (PB);155.26;0.5;49.8
Massaranduba (SC);649.67;0.47;15.2
Mata de São João (BA);261.1;0.54;38.51
Mata Grande (AL);122.38;0.57;46.61
Matão (SP);627.64;0.52;18
Mataraca (PB);150.36;0.48;69.01
Mata Roma (MA);105.16;0.57;48.15
Mata (RS);335.21;0.5;22.6
Mata Verde (MG);224.51;0.48;49.39
Mateiros (TO);98.94;0.52;32.19
Matelândia (PR);467.2;0.53;27.3
Materlândia (MG);167.97;0.58;39.39
Mateus Leme (MG);431;0.52;27.39
Mathias Lobato (MG);243.21;0.56;30.57
Matias Barbosa (MG);448.92;0.5;19.49
Matias Cardoso (MG);127.67;0.56;35.47
Matias Olímpio (PI);118.77;0.55;45.53
Matina (BA);88.51;0.46;38.54
Matinha (MA);112.95;0.53;53.3
Matinhas (PB);137.42;0.48;55.93
Matinhos (PR);567.59;0.51;21.2
Matipó (MG);337.41;0.55;36.66
Mato Castelhano (RS);472.19;0.5;19.6
Matões do Norte (MA);80.5;0.54;50.07
Matões (MA);113.76;0.52;48.99
Mato Grosso (PB);149.13;0.44;48.6
Mato Leitão (RS);422.72;0.38;20.3
Mato Queimado (RS);342.88;0.48;12.2
Mato Rico (PR);207.18;0.47;29.59
Matos Costa (SC);337.46;0.52;24.2
Mato Verde (MG);217.64;0.52;35.03
Matozinhos (MG);464.35;0.5;24.21
Matrinchã (GO);299.66;0.49;25.2
Matriz de Camaragibe (AL);131.88;0.46;51.11
Matupá (MT);503.3;0.62;31.65
Maturéia (PB);112.72;0.58;55.93
Matutina (MG);469.88;0.58;20.51
Mauá da Serra (PR);353.45;0.59;28.81
Mauá (SP);557.39;0.44;20.5
Maués (AM);191.31;0.66;36.85
Maurilândia do Tocantins (TO);123.63;0.52;45.13
Maurilândia (GO);350.1;0.44;24
Mauriti (CE);173.73;0.56;37.93
Maxaranguape (RN);149.12;0.48;56.59
Maximiliano de Almeida (RS);338.97;0.48;25.5
Mazagão (AP);173.83;0.62;30.83
Medeiros (MG);628.23;0.53;17.63
Medeiros Neto (BA);304.05;0.56;31.96
Medianeira (PR);547.46;0.5;20.2
Medicilândia (PA);345.44;0.66;27.19
Medina (MG);184.74;0.57;34.42
Meleiro (SC);768.23;0.54;23.2
Melgaço (PA);110.92;0.48;45.39
Mendes Pimentel (MG);243.56;0.6;35.41
Mendes (RJ);601.1;0.5;21.44
Mendonça (SP);584.93;0.56;19.6
Mercedes (PR);571.71;0.46;22
Mercês (MG);306.28;0.58;27.12
Meridiano (SP);371.79;0.42;20.2
Meruoca (CE);156.15;0.47;51.09
Mesópolis (SP);325.84;0.38;21
Mesquita (MG);299.61;0.46;36.23
Mesquita (RJ);523.01;0.47;19.36
Messias (AL);157.08;0.52;48.26
Messias Targino (RN);168.81;0.45;54.69
Miguel Alves (PI);112.85;0.48;54.36
Miguel Calmon (BA);172.52;0.55;53.37
Miguel Leão (PI);156.53;0.52;34.23
Miguelópolis (SP);545.12;0.56;18.3
Miguel Pereira (RJ);778.21;0.59;20.14
Milagres (BA);207.62;0.53;42.81
Milagres (CE);150.9;0.56;42.98
Milagres do Maranhão (MA);102.76;0.52;48.99
Milhã (CE);157.76;0.54;49.65
Milton Brandão (PI);64.91;0.55;49.14
Mimoso de Goiás (GO);210.5;0.58;30
Mimoso do Sul (ES);364.86;0.57;21.09
Minaçu (GO);375.51;0.54;24.1
Minador do Negrão (AL);128.64;0.54;42.57
Minas do Leão (RS);346.5;0.45;20.8
Minas Novas (MG);163.73;0.53;38.14
Minduri (MG);394.44;0.51;23.77
Mineiros do Tietê (SP);574.23;0.42;17.8
Mineiros (GO);574.37;0.59;21.7
Ministro Andreazza (RO);385.37;0.66;29.15
Mirabela (MG);203.28;0.56;38.39
Miracatu (SP);435.92;0.6;29.3
Miracema do Tocantins (TO);528.85;0.55;26.34
Miracema (RJ);468.5;0.56;21.96
Mirador (MA);130.49;0.58;52.87
Mirador (PR);310.21;0.4;24.4
Miradouro (MG);308.44;0.53;30.68
Mira Estrela (SP);362.58;0.45;21.8
Miraguaí (RS);261.97;0.66;17.6
Miraíma (CE);95.07;0.64;47.85
Miraí (MG);380.65;0.54;31.15
Miranda do Norte (MA);191.87;0.54;52.87
Miranda (MS);324.28;0.63;33.1
Mirandiba (PE);129.11;0.54;52.77
Mirandópolis (SP);548.93;0.52;21.1
Mirangaba (BA);124.74;0.51;65.59
Miranorte (TO);361.49;0.61;40.03
Mirante (BA);113.58;0.52;46.22
Mirante da Serra (RO);356.77;0.6;28.59
Mirante do Paranapanema (SP);395.02;0.5;17.9
Miraselva (PR);431.03;0.49;18.89
Mirassolândia (SP);329.46;0.4;17.7
Mirassol D'Oeste (MT);450.84;0.57;30.66
Mirassol (SP);665.53;0.46;15.3
Miravânia (MG);127.08;0.49;28.94
Mirim Doce (SC);356.54;0.53;23
Mirinzal (MA);162.57;0.52;48.69
Missal (PR);481.13;0.56;22.4
Missão Velha (CE);190.28;0.57;52.65
Mocajuba (PA);166.53;0.55;36.16
Mococa (SP);602.1;0.53;17.4
Modelo (SC);447.96;0.52;19.5
Moeda (MG);325.95;0.43;31.33
Moema (MG);584.02;0.44;27.26
Mogeiro (PB);132.42;0.5;56.8
Mogi das Cruzes (SP);769.85;0.54;18.2
Mogi Guaçu (SP);701.05;0.48;16.4
Mogi Mirim (SP);826.96;0.51;16.9
Moiporá (GO);360.26;0.46;25.2
Moita Bonita (SE);180.15;0.45;26.02
Moju (PA);177.58;0.56;34.67
Mombaça (CE);148.47;0.67;49.02
Mombuca (SP);564.9;0.61;19.2
Monção (MA);132.84;0.52;63.32
Monções (SP);407.89;0.43;23.9
Mondaí (SC);454.37;0.53;23.9
Mongaguá (SP);620.65;0.5;23.2
Monjolos (MG);360.58;0.62;34.42
Monsenhor Gil (PI);149.87;0.55;43.52
Monsenhor Hipólito (PI);243.16;0.53;52.53
Monsenhor Paulo (MG);489.44;0.52;22.25
Monsenhor Tabosa (CE);118.01;0.58;40.38
Montadas (PB);145.44;0.52;49.8
Montalvânia (MG);260.08;0.62;35.47
Montanha (ES);414.43;0.52;26.15
Montanhas (RN);149.68;0.53;62.95
Montauri (RS);619.06;0.43;13.2
Monte Alegre de Goiás (GO);183.46;0.61;33.3
Monte Alegre de Minas (MG);445.54;0.56;27.4
Monte Alegre de Sergipe (SE);145.16;0.56;54.16
Monte Alegre do Piauí (PI);126.56;0.59;49.14
Monte Alegre dos Campos (RS);225.01;0.5;19.6
Monte Alegre do Sul (SP);661.96;0.48;14.3
Monte Alegre (PA);181.61;0.59;28.88
Monte Alegre (RN);160.22;0.56;35.26
Monte Alto (SP);698.18;0.47;15.7
Monte Aprazível (SP);647.94;0.51;17.2
Monte Azul (MG);176.8;0.55;35.47
Monte Azul Paulista (SP);650.41;0.54;16.6
Monte Belo do Sul (RS);569.45;0.38;13.3
Monte Belo (MG);419.3;0.46;27.97
Monte Carlo (SC);290.66;0.45;28.2
Monte Carmelo (MG);514.01;0.52;25.87
Monte Castelo (SC);349.01;0.54;26
Monte Castelo (SP);427.55;0.48;20.5
Monte das Gameleiras (RN);114.56;0.54;41.62
Monte do Carmo (TO);195.11;0.54;43.19
Monte Formoso (MG);124.97;0.59;44.61
Monte Horebe (PB);146.18;0.57;43.55
Monteiro Lobato (SP);530.84;0.6;17.6
Monteiro (PB);224.67;0.57;59.7
Monteirópolis (AL);176.62;0.49;55.2
Monte Mor (SP);528.16;0.5;19.5
Monte Negro (RO);341.19;0.54;31.48
Montenegro (RS);723.44;0.53;13.4
Montes Altos (MA);162.6;0.56;55.45
Monte Santo (BA);95.43;0.55;60.7
Monte Santo de Minas (MG);494.1;0.52;22.27
Monte Santo do Tocantins (TO);221.55;0.51;45.13
Montes Claros de Goiás (GO);387.32;0.53;23.2
Montes Claros (MG);485.55;0.6;22.27
Monte Sião (MG);760.69;0.53;14.62
Montezuma (MG);177.59;0.56;38.39
Montividiu do Norte (GO);192.97;0.55;33.1
Montividiu (GO);485.95;0.52;22.3
Morada Nova (CE);214.12;0.52;36.88
Morada Nova de Minas (MG);348.28;0.52;21.59
Moraújo (CE);104.99;0.51;52.13
Moreilândia (PE);114.89;0.54;60.62
Moreira Sales (PR);348.01;0.52;33.4
Moreno (PE);201.82;0.5;45.66
Mormaço (RS);416.28;0.57;20.5
Morpará (BA);159.08;0.55;37.21
Morretes (PR);439.03;0.53;25
Morrinhos (CE);133.07;0.54;54.74
Morrinhos do Sul (RS);309.65;0.47;23.2
Morrinhos (GO);693.12;0.51;20.3
Morro Agudo de Goiás (GO);273.24;0.46;33.3
Morro Agudo (SP);578.08;0.52;22.9
Morro Cabeça no Tempo (PI);79.27;0.49;47.08
Morro da Fumaça (SC);553.67;0.47;20.3
Morro da Garça (MG);274.85;0.48;33.72
Morro do Chapéu (BA);209.75;0.54;50.36
Morro do Chapéu do Piauí (PI);84.08;0.53;54.36
Morro do Pilar (MG);331.05;0.5;35.81
Morro Grande (SC);357.5;0.51;23.2
Morro Redondo (RS);505.26;0.51;18.1
Morro Reuter (RS);671.02;0.38;16.5
Morros (MA);109.19;0.58;54.74
Mortugaba (BA);181.63;0.52;31.19
Morungaba (SP);688.78;0.48;20.5
Mossâmedes (GO);411.38;0.57;22.2
Mossoró (RN);359.78;0.57;34.55
Mostardas (RS);412.92;0.55;17.8
Motuca (SP);510.7;0.45;20.7
Mozarlândia (GO);379.08;0.51;28
Muaná (PA);174.26;0.56;35.37
Mucajaí (RR);335.18;0.68;23.05
Mucambo (CE);153.91;0.57;43.77
Mucugê (BA);148.27;0.53;36.95
Muçum (RS);613.02;0.44;15.5
Mucuri (BA);350.61;0.57;39.85
Mucurici (ES);255.6;0.57;26.15
Muitos Capões (RS);412.22;0.54;18.6
Muliterno (RS);343.38;0.49;22.7
Mulungu (CE);179.49;0.55;38.23
Mulungu do Morro (BA);100.94;0.51;53.86
Mulungu (PB);156.11;0.49;44.55
Mundo Novo (BA);172.29;0.56;39.61
Mundo Novo (GO);286.61;0.54;30.4
Mundo Novo (MS);445.78;0.53;24.89
Munhoz de Melo (PR);443.62;0.5;21.39
Munhoz (MG);412.79;0.5;26.69
Muniz Ferreira (BA);171.73;0.51;36.1
Muniz Freire (ES);421.86;0.58;27.29
Muquém de São Francisco (BA);148.2;0.55;52.02
Muqui (ES);427.99;0.57;26.21
Muriaé (MG);498.08;0.55;22.88
Muribeca (SE);165.67;0.49;47.08
Murici (AL);155.8;0.48;55.88
Murici dos Portelas (PI);110.73;0.6;45.72
Muricilândia (TO);190.55;0.54;46.11
Muritiba (BA);236.55;0.52;40.57
Murutinga do Sul (SP);458.15;0.47;18.8
Mutuípe (BA);336.68;0.63;50.83
Mutum (MG);415.41;0.56;28.66
Mutunópolis (GO);311.87;0.52;33.7
Muzambinho (MG);652.75;0.51;19.92
Nacip Raydan (MG);197.58;0.54;31.41
Nantes (SP);354.47;0.38;24.8
Nanuque (MG);451.81;0.6;27.4
Não-Me-Toque (RS);687.8;0.57;15.4
Naque (MG);236.44;0.51;33.72
Narandiba (SP);334.54;0.48;19.5
Natalândia (MG);285.13;0.51;27.39
Natal (RN);673.38;0.61;32
Natércia (MG);541.69;0.47;24.33
Natividade da Serra (SP);341.47;0.52;20.1
Natividade (RJ);479.68;0.58;21.96
Natividade (TO);282.97;0.59;34.34
Natuba (PB);130.95;0.54;60.83
Navegantes (SC);473.99;0.42;23.5
Naviraí (MS);444.47;0.54;24.89
Nazaré (BA);214.99;0.55;38.02
Nazaré da Mata (PE);243.19;0.55;46.14
Nazaré do Piauí (PI);111.81;0.56;52.99
Nazareno (MG);305.48;0.47;31.15
Nazaré Paulista (SP);427.04;0.55;24.5
Nazaré (TO);156.2;0.56;45.44
Nazarezinho (PB);116.5;0.52;51.81
Nazária (PI);127.18;0.5;34.54
Nazário (GO);413.83;0.49;22.3
Neópolis (SE);193.21;0.55;55.12
Nepomuceno (MG);429.72;0.57;24.89
Nerópolis (GO);458.18;0.49;23.4
Neves Paulista (SP);623.92;0.48;18
Nhamundá (AM);136.82;0.61;43.95
Nhandeara (SP);614.6;0.51;17.2
Nicolau Vergueiro (RS);455.46;0.52;14.2
Nilo Peçanha (BA);139.29;0.5;47.97
Nilópolis (RJ);599;0.45;21.7
Nina Rodrigues (MA);92.72;0.59;46.22
Ninheira (MG);159.46;0.51;30.02
Nioaque (MS);294.35;0.58;26.43
Nipoã (SP);423.46;0.46;19.5
Niquelândia (GO);397.1;0.54;27
Nísia Floresta (RN);253.44;0.58;48.41
Niterói (RJ);1596.51;0.58;14.04
Nobres (MT);339.34;0.53;30.1
Nonoai (RS);399.45;0.62;19.8
Nordestina (BA);117.63;0.5;54.5
Normandia (RR);118;0.81;37.65
Nortelândia (MT);288.55;0.45;33.98
Nossa Senhora Aparecida (SE);134.68;0.54;47.08
Nossa Senhora da Glória (SE);224.68;0.53;52.67
Nossa Senhora das Dores (SE);187.89;0.53;43.91
Nossa Senhora das Graças (PR);296.71;0.38;24.9
Nossa Senhora de Lourdes (SE);216.07;0.49;55.91
Nossa Senhora de Nazaré (PI);100.75;0.48;46.16
Nossa Senhora do Livramento (MT);248.21;0.56;27.68
Nossa Senhora do Socorro (SE);234.39;0.47;36.75
Nossa Senhora dos Remédios (PI);111.98;0.48;52.36
Nova Aliança do Ivaí (PR);369.99;0.46;28.4
Nova Aliança (SP);523.59;0.45;17.6
Nova Alvorada do Sul (MS);471.28;0.58;30.23
Nova Alvorada (RS);526.99;0.48;22.9
Nova América da Colina (PR);317.77;0.4;33.4
Nova América (GO);279.46;0.42;28.8
Nova Andradina (MS);509.77;0.52;17.69
Nova Araçá (RS);1021.93;0.46;14
Nova Aurora (GO);453.01;0.45;22.5
Nova Aurora (PR);513.69;0.55;28.01
Nova Bandeirantes (MT);296.87;0.62;23.46
Nova Bassano (RS);822.81;0.44;16
Nova Belém (MG);265.9;0.5;44.61
Nova Boa Vista (RS);381.15;0.4;16.7
Nova Brasilândia D'Oeste (RO);300.74;0.55;35.16
Nova Brasilândia (MT);298.15;0.55;22.79
Nova Bréscia (RS);962.07;0.58;14
Nova Campina (SP);325.73;0.47;29.4
Nova Canaã (BA);157.81;0.48;42.81
Nova Canaã do Norte (MT);401.28;0.56;30.19
Nova Canaã Paulista (SP);313.59;0.38;19.5
Nova Candelária (RS);427.21;0.45;13.2
Nova Cantu (PR);324.58;0.58;34.69
Nova Castilho (SP);302.86;0.43;20.1
Nova Colinas (MA);88.99;0.6;53.3
Nova Crixás (GO);380.58;0.52;27.4
Nova Cruz (RN);168.55;0.58;49.22
Nova Era (MG);435.88;0.54;21.23
Nova Erechim (SC);614.06;0.5;18
Nova Esperança do Piriá (PA);160.34;0.63;40.93
Nova Esperança do Sudoeste (PR);372.13;0.55;31.59
Nova Esperança do Sul (RS);390.57;0.49;16.6
Nova Esperança (PR);498.78;0.52;24.5
Nova Europa (SP);561.07;0.46;16.5
Nova Fátima (BA);236.95;0.54;58.09
Nova Fátima (PR);474.45;0.57;25
Nova Floresta (PB);165.7;0.51;49.94
Nova Friburgo (RJ);723.34;0.54;14.04
Nova Glória (GO);289.95;0.47;24.66
Nova Granada (SP);495.33;0.49;18.3
Nova Guarita (MT);332.43;0.56;33.08
Nova Guataporanga (SP);312.67;0.41;14.5
Nova Hartz (RS);459.19;0.37;17.9
Nova Ibiá (BA);160.32;0.49;50.13
Nova Iguaçu de Goiás (GO);315.74;0.56;33.1
Nova Iguaçu (RJ);474.8;0.49;22.7
Nova Independência (SP);303.41;0.43;16.9
Nova Iorque (MA);155.12;0.53;53.3
Nova Ipixuna (PA);259.31;0.58;33.95
Novais (SP);308.88;0.43;17.8
Nova Itaberaba (SC);460.71;0.59;22.8
Nova Itarana (BA);143.41;0.55;54.96
Nova Lacerda (MT);437.33;0.52;31.36
Nova Laranjeiras (PR);308.58;0.56;27.3
Nova Lima (MG);829.3;0.64;21.67
Nova Londrina (PR);523.92;0.53;20.39
Nova Luzitânia (SP);443.61;0.45;23.2
Nova Mamoré (RO);269.78;0.52;36.98
Nova Marilândia (MT);463.96;0.47;30.1
Nova Maringá (MT);456.34;0.55;23.46
Nova Módica (MG);245.27;0.58;39.52
Nova Monte Verde (MT);364.36;0.51;30.37
Nova Mutum (MT);724.12;0.53;22.63
Nova Nazaré (MT);263.15;0.55;32.3
Nova Odessa (SP);671.86;0.41;15.3
Nova Olímpia (MT);390.8;0.52;27.73
Nova Olímpia (PR);379.91;0.53;26.39
Nova Olinda (CE);198.86;0.57;53.26
Nova Olinda do Maranhão (MA);139.64;0.47;50.93
Nova Olinda do Norte (AM);203.68;0.63;43.95
Nova Olinda (PB);118.2;0.59;48.71
Nova Olinda (TO);285.24;0.55;46.96
Nova Pádua (RS);914.36;0.37;13.1
Nova Palma (RS);561.85;0.53;14
Nova Palmeira (PB);156.73;0.48;48.28
Nova Petrópolis (RS);799.96;0.47;12.3
Nova Ponte (MG);618.31;0.52;19.45
Nova Porteirinha (MG);235.85;0.41;35.47
Nova Prata do Iguaçu (PR);381.36;0.52;25.3
Nova Prata (RS);758.82;0.47;15.7
Nova Ramada (RS);496.5;0.6;19
Nova Redenção (BA);143.37;0.51;56.56
Nova Resende (MG);491.86;0.5;31.15
Nova Roma do Sul (RS);633.53;0.44;14.4
Nova Roma (GO);170.82;0.52;26.5
Nova Rosalândia (TO);299.38;0.52;39.85
Nova Russas (CE);202.62;0.61;49.65
Nova Santa Bárbara (PR);348.56;0.57;28.81
Nova Santa Helena (MT);386.96;0.62;24.81
Nova Santa Rita (PI);93.21;0.5;50.16
Nova Santa Rita (RS);555.27;0.49;21.2
Nova Santa Rosa (PR);486.03;0.49;22.9
Nova Serrana (MG);659.74;0.43;15.91
Nova Soure (BA);144.22;0.57;50.43
Nova Tebas (PR);249.56;0.5;30.21
Nova Timboteua (PA);188.95;0.52;40.9
Nova Trento (SC);552.05;0.42;19.2
Nova Ubiratã (MT);614.5;0.55;19.82
Nova União (MG);330.45;0.48;30.15
Nova União (RO);244.26;0.54;31.34
Nova Venécia (ES);433.36;0.56;15.59
Nova Veneza (GO);320.19;0.47;29.7
Nova Veneza (SC);639.47;0.47;21.2
Nova Viçosa (BA);255.08;0.6;46.7
Nova Xavantina (MT);473.72;0.56;27.9
Novo Acordo (TO);293.96;0.64;42.69
Novo Airão (AM);190.48;0.55;47.45
Novo Alegre (TO);230.74;0.61;37.75
Novo Aripuanã (AM);206.15;0.6;42.43
Novo Barreiro (RS);253.39;0.47;21.2
Novo Brasil (GO);359.16;0.52;27.2
Novo Cabrais (RS);294.08;0.52;19.6
Novo Cruzeiro (MG);246.23;0.53;38.95
Novo Gama (GO);377.16;0.47;29.1
Novo Hamburgo (RS);770.02;0.53;14.8
Novo Horizonte (BA);213.91;0.56;33.11
Novo Horizonte do Norte (MT);292.23;0.49;28.89
Novo Horizonte do Oeste (RO);346.38;0.54;31.2
Novo Horizonte do Sul (MS);242.88;0.51;26.51
Novo Horizonte (SC);430.44;0.49;26.9
Novo Horizonte (SP);588.28;0.49;15.2
Novo Itacolomi (PR);243.65;0.42;28.81
Novo Jardim (TO);203.95;0.45;46.11
Novo Lino (AL);200.13;0.55;72.27
Novo Machado (RS);328.68;0.49;19.6
Novo Mundo (MT);365.68;0.62;33.08
Novo Oriente (CE);153.42;0.58;49.65
Novo Oriente de Minas (MG);153.25;0.56;46.2
Novo Oriente do Piauí (PI);161.75;0.51;46.54
Novo Planalto (GO);265.45;0.49;29.6
Novo Progresso (PA);477.47;0.54;18.95
Novo Repartimento (PA);179.4;0.59;44.31
Novorizonte (MG);199.45;0.45;38.39
Novo Santo Antônio (MT);184.45;0.51;22.39
Novo Santo Antônio (PI);73.02;0.56;66.61
Novo São Joaquim (MT);478.99;0.54;27.9
Novo Tiradentes (RS);215.15;0.47;21.9
Novo Triunfo (BA);125.05;0.5;47.81
Novo Xingu (RS);359.08;0.41;16.8
Nuporanga (SP);604.31;0.5;19.6
Óbidos (PA);162.15;0.54;35.37
Ocara (CE);111.36;0.53;56.1
Ocauçu (SP);496.54;0.48;20.9
Oeiras do Pará (PA);154.44;0.52;36.52
Oeiras (PI);216.14;0.58;51.12
Oiapoque (AP);526.35;0.67;30.83
Olaria (MG);371.1;0.56;27.05
Óleo (SP);348.31;0.44;20.5
Olho D'Água das Cunhãs (MA);140.96;0.53;50.93
Olho D'Água das Flores (AL);192.01;0.56;51.44
Olho-D'Água do Borges (RN);175.3;0.48;43.52
Olho D'Água do Casado (AL);170.87;0.6;47.4
Olho D'Água do Piauí (PI);108.11;0.51;49.14
Olho D'Água Grande (AL);98.98;0.59;46.61
Olho D'Água (PB);99.51;0.55;47.55
Olhos-D'Água (MG);141.47;0.44;27.36
Olímpia (SP);696.23;0.49;17.7
Olímpio Noronha (MG);318.46;0.41;22.88
Olinda Nova do Maranhão (MA);106.94;0.56;56.56
Olinda (PE);514.93;0.59;29.08
Olindina (BA);172.17;0.56;40.57
Olivedos (PB);192.94;0.49;48.88
Oliveira de Fátima (TO);396.97;0.62;43.29
Oliveira dos Brejinhos (BA);133.23;0.56;37.62
Oliveira Fortes (MG);232.74;0.49;32.78
Oliveira (MG);465.21;0.55;22.95
Olivença (AL);82.3;0.56;68.54
Onça de Pitangui (MG);403.73;0.45;26.63
Onda Verde (SP);402.55;0.44;19.6
Oratórios (MG);187.97;0.39;30.2
Oriente (SP);508.42;0.45;20.3
Orindiúva (SP);576.51;0.5;20.8
Oriximiná (PA);264.69;0.61;30.89
Orizânia (MG);238.58;0.53;42.48
Orizona (GO);476.94;0.55;25.4
Orlândia (SP);679.45;0.5;15.6
Orleans (SC);560.34;0.47;21.8
Orobó (PE);157.26;0.52;60.78
Orocó (PE);201.72;0.51;51.51
Orós (CE);154.32;0.51;52.46
Ortigueira (PR);233.99;0.53;27.29
Osasco (SP);780.28;0.51;17.2
Oscar Bressane (SP);543.29;0.5;21.8
Osório (RS);660.42;0.55;14.1
Osvaldo Cruz (SP);627.91;0.53;19.1
Otacílio Costa (SC);511.43;0.48;28
Ourém (PA);175.16;0.6;36.16
Ouriçangas (BA);133.08;0.47;47.46
Ouricuri (PE);208.37;0.64;62.1
Ourilândia do Norte (PA);312.76;0.56;32.28
Ourinhos (SP);670.57;0.51;16.4
Ourizona (PR);420.36;0.51;28.5
Ouro Branco (AL);126.89;0.55;53.21
Ouro Branco (MG);568.88;0.53;22.86
Ouro Branco (RN);230.97;0.48;29.85
Ouroeste (SP);490.25;0.54;19.4
Ouro Fino (MG);610.94;0.53;16.44
Ourolândia (BA);133.36;0.56;65.59
Ouro Preto do Oeste (RO);480.62;0.59;27.5
Ouro Preto (MG);502.54;0.56;27.88
Ouro (SC);683.97;0.47;19.1
Ouro Velho (PB);171.46;0.47;47.59
Ouro Verde de Goiás (GO);336.23;0.54;30.8
Ouro Verde de Minas (MG);193.55;0.51;39.57
