NOME;RENDA;GINI;CMI
Angical (BA);141.71;0.51;38.27
Angical do Piauí (PI);140.04;0.6;34.23
Angicos (RN);234.2;0.54;35.04
Angico (TO);218.35;0.47;45.44
Angra dos Reis (RJ);563.68;0.53;20.14
Anguera (BA);137.73;0.48;50.43
Ângulo (PR);445.96;0.47;28.03
Anhanguera (GO);415.18;0.41;24
Anhembi (SP);492.76;0.47;18.7
Anhumas (SP);325.95;0.45;22
Anicuns (GO);434.18;0.47;22.8
Anísio de Abreu (PI);168.48;0.52;41.11
Anita Garibaldi (SC);307.47;0.56;30.7
Anitápolis (SC);468.98;0.56;23.5
Anori (AM);181.92;0.58;45.3
Anta Gorda (RS);724.85;0.45;19.5
Antas (BA);200.31;0.52;53.37
Antonina do Norte (CE);158.85;0.55;45.92
Antonina (PR);391.94;0.56;20.69
Antônio Almeida (PI);159.48;0.48;42.58
Antônio Cardoso (BA);151.88;0.46;36.81
Antônio Carlos (MG);336.82;0.52;25.92
Antônio Carlos (SC);592.02;0.44;14.8
Antônio Dias (MG);240.95;0.52;25.8
Antônio Gonçalves (BA);147;0.51;51.06
Antônio João (MS);249.89;0.54;35.02
Antônio Martins (RN);126.42;0.57;39.68
Antônio Olinto (PR);227.23;0.53;28.6
Antônio Prado de Minas (MG);342.34;0.5;30.68
Antônio Prado (RS);819.69;0.49;20.5
Aparecida de Goiânia (GO);399.29;0.46;23.51
Aparecida D'Oeste (SP);488.92;0.55;21.8
Aparecida do Rio Doce (GO);409.31;0.44;22.3
Aparecida do Rio Negro (TO);194.8;0.48;45.35
Aparecida do Taboado (MS);453.43;0.52;24.89
Aparecida (PB);207.5;0.51;47.4
Aparecida (SP);636.55;0.53;18.2
Aperibé (RJ);488.93;0.54;19.43
Apiacá (ES);354.28;0.57;26.18
Apiacás (MT);395.54;0.53;32.94
Apiaí (SP);352.29;0.55;21.3
Apicum-Açu (MA);86.97;0.52;57.19
Apiúna (SC);478.41;0.47;28.5
Apodi (RN);176.32;0.53;38.85
Aporá (BA);141.06;0.56;44.35
Aporé (GO);595.05;0.57;21
Apuarema (BA);136.25;0.52;45.93
Apucarana (PR);566.79;0.49;20.4
Apuí (AM);254.78;0.59;43.95
Apuiarés (CE);121.31;0.54;52.53
Aquidabã (SE);176.37;0.54;54.16
Aquidauana (MS);485.81;0.61;27.04
Aquiraz (CE);242.56;0.49;41.94
Arabutã (SC);628.9;0.51;24.3
Araçagi (PB);127.4;0.51;50.09
Araçaí (MG);312.64;0.47;31.17
Aracaju (SE);700.81;0.62;38.95
Araçariguama (SP);530.33;0.53;22.9
Araças (BA);122.88;0.52;53.37
Aracati (CE);216.08;0.55;44.32
Aracatu (BA);134.64;0.45;43.41
Araçatuba (SP);994.3;0.55;18.3
Araci (BA);116.99;0.57;56.49
Aracitaba (MG);278.67;0.51;27.05
Aracoiaba (CE);141.98;0.56;60.34
Araçoiaba da Serra (SP);611.77;0.52;17.6
Araçoiaba (PE);152.31;0.45;51.32
Aracruz (ES);497.72;0.58;25.83
Araçuaí (MG);261.03;0.57;33.72
Araçu (GO);295.28;0.48;23.1
Aragarças (GO);376.09;0.47;25
Aragoiânia (GO);384.34;0.45;27.1
Aragominas (TO);149.08;0.54;43.57
Araguacema (TO);263;0.56;40.03
Araguaçu (TO);368.3;0.54;43.81
Araguaiana (MT);378.56;0.52;27.41
Araguaína (TO);423.56;0.6;35.38
Araguainha (MT);372.44;0.4;24.43
Araguanã (MA);100.82;0.52;60.31
Araguanã (TO);278.68;0.52;43.57
Araguapaz (GO);459.66;0.53;28
Araguari (MG);634.63;0.53;17.99
Araguatins (TO);198.04;0.6;46.75
Araioses (MA);89.13;0.59;60.54
Aral Moreira (MS);300.12;0.57;26.51
Aramari (BA);198.28;0.53;48.48
Arambaré (RS);389.28;0.48;21.5
Arame (MA);129.69;0.55;60.48
Aramina (SP);496.32;0.46;19.9
Arandu (SP);377;0.44;23.8
Arantina (MG);278.65;0.42;27.23
Arapeí (SP);298.06;0.45;21.5
Arapiraca (AL);258.45;0.55;47.4
Arapoema (TO);319.2;0.51;41.23
Araponga (MG);182.46;0.5;45.85
Arapongas (PR);596.95;0.49;24
Araporã (MG);536.04;0.41;21.8
Arapoti (PR);657.87;0.68;28
Arapuá (MG);553.85;0.52;18.86
Arapuã (PR);207.82;0.48;27.3
Araputanga (MT);514.47;0.58;30.66
Araquari (SC);412.35;0.48;24.7
Araranguá (SC);573.87;0.49;20.3
Arara (PB);151.84;0.54;57.48
Araraquara (SP);872.54;0.5;16.8
Araras (SP);742.82;0.48;14.7
Ararendá (CE);137.05;0.53;40.38
Araricá (RS);421.51;0.42;20.2
Arari (MA);187.5;0.59;48.15
Araripe (CE);129.41;0.56;56.43
Araripina (PE);226.84;0.6;46.14
Araruama (RJ);518.71;0.56;20.14
Araruna (PB);133.87;0.54;52.88
Araruna (PR);370.52;0.51;31.8
Arataca (BA);142.33;0.47;48.62
Aratiba (RS);411.15;0.52;16.6
Aratuba (CE);126.67;0.49;38.23
Aratuípe (BA);164.95;0.52;50.02
Arauá (SE);203.26;0.54;43.84
Araucária (PR);488.09;0.46;20.4
Araújos (MG);414.29;0.43;22.19
Araxá (MG);665.69;0.53;25.07
Arceburgo (MG);445.72;0.46;33.46
Arco-Íris (SP);506.12;0.4;18.8
Arcos (MG);524.58;0.51;16.65
Arcoverde (PE);341.06;0.58;43.96
Areado (MG);549.87;0.5;22.67
Areal (RJ);512.35;0.5;18.21
Arealva (SP);546.93;0.49;18.1
Areia Branca (RN);292.34;0.52;39.34
Areia Branca (SE);171.68;0.48;32.26
