RENDA;GINI;CMI
339.43;0.51;40.37
147.9;0.52;55.75
579.27;0.5;17.7
658.14;0.49;17.7
616.95;0.46;21.5
159.67;0.62;81.84
647.07;0.53;22.58
433.71;0.57;19.5
354.7;0.5;29
310.57;0.5;20.74
107.97;0.61;52.87
146.89;0.48;57.74
477.65;0.54;21.96
247.5;0.6;46.77
412.92;0.51;22.28
97.03;0.52;46.22
151.55;0.57;51.47
468.04;0.52;22.8
362.16;0.56;28.72
363.1;0.55;32.3
214.77;0.5;36.66
475.1;0.56;19.6
396.45;0.49;20.47
278.83;0.43;19
581.26;0.49;21.4
217.03;0.49;31.03
210.85;0.58;44.36
188.38;0.5;34.79
148.53;0.51;43.55
262.87;0.64;34.09
164.57;0.54;42.06
408.2;0.54;22.9
314.91;0.55;26.4
96.88;0.49;53.3
135.15;0.49;50.16
609.97;0.4;16.4
292.49;0.52;19.8
447.85;0.46;23.4
535.23;0.43;20.4
410.52;0.49;24.3
266.51;0.5;25.6
377.52;0.53;25.61
410.74;0.56;22.95
155.3;0.52;37.3
357.11;0.52;27.33
165.8;0.48;42.58
306.87;0.5;30.2
202.84;0.66;32.17
311.58;0.6;22.29
394.13;0.48;23.4
157.73;0.53;34.11
149.09;0.44;69.84
85.69;0.57;44.61
169.54;0.55;44.27
463.41;0.58;19.57
160.09;0.49;45.39
215.48;0.55;70.39
259.39;0.54;34.3
377.86;0.47;16.1
93.27;0.5;44.64
177.72;0.48;47.59
213.63;0.54;47.08
160.09;0.61;37.18
507.98;0.43;15.5
462.6;0.47;18.5
191.74;0.64;50.4
166.66;0.54;47.4
536.25;0.5;19.6
545.35;0.5;24.17
369.47;0.39;22.3
311.33;0.47;24.5
319.19;0.6;19.6
630.12;0.59;16.82
840.51;0.54;18.2
156.35;0.51;32.04
96.93;0.61;37.21
564.51;0.4;19.1
525.38;0.46;16
831.77;0.46;19.3
461.35;0.43;18
206;0.56;45.94
787.6;0.53;18.3
235.4;0.52;33.19
246.58;0.52;23.1
121.11;0.42;67.07
380.15;0.5;26.71
356.01;0.45;31.59
228.01;0.53;37.41
552.41;0.53;27.76
277.15;0.58;30.71
123.18;0.52;44.89
227.5;0.57;32.42
1199.44;0.63;20.71
289.98;0.55;36.05
528.19;0.53;20.94
461.47;0.56;29.98
176.42;0.53;28.43
190.87;0.56;35.43
498.47;0.47;19
298.58;0.43;29.6
126.55;0.49;77.67
389.27;0.59;26.15
235.47;0.56;37.05
115.88;0.6;73.83
189.12;0.49;47.12
356.64;0.39;22.9
202.67;0.49;70.35
111.01;0.49;70.34
208.23;0.47;35.24
111.56;0.46;54.95
183.07;0.52;48.28
203.07;0.48;39.74
222.21;0.55;34.23
118.53;0.51;59.59
126.81;0.56;36.3
100.25;0.64;52.12
226.92;0.61;36.25
252.31;0.54;40.9
170.14;0.58;36.34
343.94;0.5;23.6
481.02;0.4;16.2
626.7;0.44;16.1
124.8;0.59;46.02
685.16;0.51;22.2
536.73;0.57;25.07
